"Submission ID","Respondent ID","Submitted at","uuid","session_id","session_duration","subject","Respondent's country","how was your sesh with Professor Curious fr?","what made you call the Prof.?","what didn’t work for you with the Prof.?","what actually helped you the most? 🔥","what do you think we could do better?","Anything here that low-key had you confused or stressed?","How well did the whiteboard work for you today?"
"EkO7aDL","aQ667Lq","2026-01-20 07:03:58","32","","","Unknown","","5","📚 to learn","Dawg it fr felt like I was on call with my teacher","","Spring down and visually showing things rather than saying","","4"
"pb22qkV","dW6xVpN","2026-01-20 11:05:04","5","","","Unknown","","5","📚 to learn"," talk to him while but I can do other stuff and help me like when I’m in a rush I can do other stuff I can talk to him to help me study","","Noting 
","","5"
"NpZaD2p","aQ667Lq","2026-01-20 14:58:21","11","","","Unknown","","4","📚 to learn","Honestly fr js explained things at my pace","","He talks a lot and it takes a while for the equations to show ","","3"
"b5J1kX1","0QxxeXQ","2026-01-20 15:01:52","7","","","Unknown","","5","📚 to learn","I loved how it thoroughly explained every single detail step-by-step to me","","A little more interactive ","","5"
"Pdq7GVP","MebO2Zp","2026-01-20 16:07:09","12","","","Unknown","","4","📚 to learn","I liked how eveything he said automatically went into detailed notes","","I think you could make the voice a little more energetic and happy but overall amazing ","","5"
"9qKb7rV","5BzLVyd","2026-01-21 01:19:47","8","","","Unknown","","5","📚 to learn","","","Nothing, everything was great","","5"
"QKQPA2G","ZjNlgay","2026-01-21 01:40:44","6","","","Unknown","","2","📚 to learn","I liked how clear and understanding he is.","","The call kept lagging and I couldn’t properly learn","","5"
"2E6Qylb","eq6LVgJ","2026-01-21 03:35:39","22","","","Unknown","","5","📚 to learn","","","b","","5"
"yPaaAM6","EkXPggA","2026-01-21 10:29:12","4","","","Unknown","","5","📚 to learn","Helping me understand the topics to understand what’s gonna help","","Absolutely nothing","","5"
"Xxaleez","eq67N4o","2026-01-21 13:26:01","5","","","Unknown","","5","📚 to learn","Best","","Nothing","","5"
"RGNKLyJ","ODzJdkK","2026-01-21 13:36:03","0","","","Unknown","","1","📝 to do homework","Nth","","Everything ","","1"
"rj4DZr2","kdy0E7o","2026-01-21 21:47:42","2","","","Unknown","","5","📚 to learn","How quick he is to tackle my problems ","","Allow me to upload files so prof can explain ","","5"
"kdol6zR","0Qxb1LB","2026-01-21 23:32:07","14","","","Unknown","","5","📚 to learn","He’s very understanding and smart ","","Nothing it’s all great ","","5"
"pbEr0LV","dW6ZRBr","2026-01-22 00:27:55","23","","","Unknown","","5","📚 to learn","","","h","","3"
"EkRKMJo","dW6xVpN","2026-01-22 00:59:31","12","","","Unknown","","5","📚 to learn","That is gonna make me a great grade in my test ","","Noting ","","5"
"zx9jAxZ","dW6ZRBr","2026-01-22 01:53:30","7","","","Unknown","","1","📝 to do homework","it has helped me a lot ","","it keeps glitching ","","1"
"VLeGK86","aQ6jWoX","2026-01-22 02:34:36","16","","","Unknown","","5","📚 to learn","I don’t know I just really like how I can talk to him like my teacher!","","Nothing it’s pretty good","","5"
"9qkXNVE","VL0oLZj","2026-01-22 03:33:38","5","","","Unknown","","5","📚 to learn","","","noyhung","","5"
"NpjDD4W","ODz8QzA","2026-01-22 03:44:49","4","","","Unknown","","3","📝 to do homework","There were good explanations of why something was wrong or right when answering questions.","","Showing more examples","","4"
"68leOKk","D4N0d0q","2026-01-22 05:15:23","41","","","Unknown","","5","📚 to learn","He explained everything better than my teacher ","","Nothing","","5"
"OD2lVbA","eq69Lv0","2026-01-22 06:21:35","1","","","Any subject","","5","📚 to learn","Amazing!","","It’s perfect ","","5"
"aQLdxYb","Pd6bg7d","2026-01-22 18:09:41","9","","","European History","","3","📚 to learn","Highlights key points ","","Keep the whole dialogue and everything the prof says in a chat","","4"
"kdoydyj","dW6xVpN","2026-01-23 00:58:57","14","","","Unknown","","5","📚 to learn","Always help me when I get like an answer wrong and tell me why","","Slowing down ","","5"
"yPQ6JBB","Meb70yE","2026-01-23 01:43:56","3","","","Unknown","","5","📚 to learn","","","Nun","","5"
"eqJ6NKx","A7dyrqN","2026-01-23 02:54:45","8","","","Unknown","","3","📝 to do homework","","","…","","3"
"7RAWJXZ","1Al6Wdp","2026-01-23 02:58:03","4","","","Unknown","","1","😌 to just chill + study","He don't know how to teach poor development
","","Yes he could","","1"
"jaRyp8E","2Ee7PBg","2026-01-23 04:05:31","4","","","Unknown","","5","📚 to learn","Learning how to count money in cents","","No","","5"
"vGZAoR0","GxlAW2k","2026-01-23 06:09:29","0","","","Microeconomics","","1","😌 to just chill + study","","","lower unlimited prices","","1"
"q4rbLZG","Y5QkpdB","2026-01-23 06:48:16","46","","","Unknown","","5","📚 to learn","how i can ask as many questions as i need to understand a topic","","i’m not really sure","","5"
"xXq2NBy","BzX95d1","2026-01-23 18:37:32","13","","","Unknown","","5","📚 to learn","I actually learned with the Prof. he helped me with my Spanish test and have an A and the test. He gave me some some exercises and helped me practice. It’s a great app where I can actually learn love it ❤️👌 (finally an app that work). ","","I’m new to this App so I haven’t really know much about it but so far this app more than great 👍 keep it up","","5"
"KYEJxVg","EkXAR1N","2026-01-24 02:52:19","3","","","Unknown","","5","📚 to learn","That he was able to understand me","","Maybe slow down ","","5"
"pbE0W0B","81K5d5P","2026-01-24 14:09:50","22","","","Unknown","","5","📚 to learn","great","","great","","5"
"eqJNNOl","81K5d5P","2026-01-24 14:27:44","16","","","Unknown","","5","📚 to learn","great","","great","","5"
"obPlVob","VL0yka6","2026-01-24 18:13:27","11","","","Unknown","","5","📝 to do homework","He was clear and engaged with what I said ","","I have more visual options ","","3"
"D48Ad1R","7RWzEPA","2026-01-24 21:53:51","2","","","Unknown","","1","😌 to just chill + study","I couldn’t hear him when he was talking and I had no earbuds in and my volume was all the way up so I should’ve been able to","","Fix it","","1"
"yPQoPl0","81K5d5P","2026-01-25 03:01:13","0","","","Unknown","","5","📚 to learn","great","","great","","5"
"68lWdgk","81K5d5P","2026-01-25 04:35:09","69","","","Unknown","","5","📚 to learn","Great ","","great","","5"
"LZraGK2","81K5d5P","2026-01-25 04:36:50","0","","","Unknown","","5","📚 to learn","great","","great","","5"
"jaRJMy1","81K5d5P","2026-01-25 04:39:00","0","","","Unknown","","5","📚 to learn","flow gets broken","","Nothinyou all are great","","5"
"Y56JVyv","81K5d5P","2026-01-25 05:41:49","0","","","Unknown","","5","📚 to learn","Guider ","","nothing","","5"
"A7g4WMz","81K5d5P","2026-01-25 05:42:22","0","","","Unknown","","5","📚 to learn","g","","g","","5"
"obP5vGx","ZjNL1b5","2026-01-25 06:19:44","1","","","Unknown","","5","📚 to learn","Everything","","It's already cool","","4"
"0Q9Zkr0","ZjNL1b5","2026-01-25 06:28:42","7","","","Unknown","","5","📚 to learn","","","Nothing ","","5"
"xXqP5xE","1Al6Wdp","2026-01-25 07:13:30","0","","","Unknown","","5","📚 to learn","Bessst","","Bessssszt","","5"
"446pBOd","81K5d5P","2026-01-25 09:35:08","52","","","Unknown","","5","📚 to learn","if you are a professional then find the truth across time and space","","find the truth across time and space and then decide or judge","","5"
"Pdxk99B","BzXq6v5","2026-01-25 14:09:50","14","","","Any subject","","4","📚 to learn","Instant explanation with logical answer ","","More details ","","5"
"5B7MP6M","BzXq6v5","2026-01-25 16:48:00","28","","","Any subject","","5","📚 to learn","Instant explanation with logical answer and best answer ","","More key points ","","5"
"68lPyJ5","jayrrv9","2026-01-25 20:33:26","16","","","Unknown","","4","📚 to learn","The notes were good","","Some times the transcript didn’t change in to notes ","","3"
"obPzLa1","RG0QNVl","2026-01-25 20:55:50","8","","","Unknown","","2","📝 to do homework","It was just confusing because he kept going and I couldn’t write it down on my paper because it was too fast and I would tell him to go slower and he didn’t.","","Making him write it down better.
","","1"
"b5pAjoo","Np6ND50","2026-01-25 22:22:41","63","","","Any subject","","1","😌 to just chill + study","I didn't like that he kept saying that I was wrong and then when we would continue, he started to do the same exact thing that I was literally just doing that he was saying that it was incorrect",""," like they're there was so many glitches and you have to make him more program and more smart","","1"
"J9PGrkJ","BzXJpqK","2026-01-26 07:18:09","0","","","Unknown","","5","📚 to learn","","","Make professor Moustache more good","","4"
"dWMgyAq","BzXq6v5","2026-01-26 07:41:06","20","","","Any subject","","5","📚 to learn","Instant answer with explanation","","More examples","","5"
"2EWZEyM","aQ6p0XB","2026-01-26 08:36:19","50","","","Unknown","","5","📚 to learn","His voice is so soothing and he makes it clear and easy to understand the content.","","Not much maybe go a bit in depth on the whiteboard.","","5"
"b5pDzEo","gD081W4","2026-01-26 10:41:05","5","","","Unknown","","5","📚 to learn","Best","","Best","","5"
"xXq1QB5","pbKpY7J","2026-01-26 15:44:59","0","","","Unknown","","5","📚 to learn","Very nice ","","Everything is good realyy","","5"
"9qky07Q","Y5QAR60","2026-01-26 17:00:09","0","","","Unknown","","3","📚 to learn","Nothing","","Just tell him to listen not just talk because when I speak he interrupt me in between","","4"
"81BybX5","rj6ZODX","2026-01-26 17:06:42","10","","","Any subject","","5","📚 to learn","It was all good","","Not much I is very good maybe i can take more pictures of different t pages to so it could go over","","4"
"pbE6J1b","dW6ygxq","2026-01-26 18:51:42","33","","","Unknown","","1","😌 to just chill + study","Literally nothing. He is a worthless piece of crap","","Everything","","1"
"dWJGpvr","GxdvdjL","2026-01-26 20:19:49","2","","","Any subject","","5","📚 to learn","Patience ","","N/A","","4"
"446RG5k","eq6J6xx","2026-01-26 22:07:06","8","","","Unknown","","5","📚 to learn","Was able to give examples and tips for questions I had no clue on how to do","","If a course uses a data booklet, for example Chemistry. Maybe reference when table from the data booklet is relevant information for the questions asked","","4"
"Y56XB25","GxdvdjL","2026-01-26 22:45:53","15","","","Any subject","","3","📚 to learn","Patient ","","He took a long time and I got the wrong answer ","","4"
"PdxLo2e","aQ6LjBW","2026-01-26 23:14:21","38","","","Unknown","","5","📚 to learn","","","He should actually write the equations down not just the elements ","","4"
"Zj7AWbz","A7dgX4l","2026-01-27 01:59:06","4","","","Unknown","","5","📚 to learn","","","Nothing","","5"
"OD2ZMDM","A7dgX4l","2026-01-27 02:46:05","14","","","Unknown","","5","📚 to learn","","","Nothing ","","5"
"446VzdY","jayKE14","2026-01-27 13:15:55","2","","","Unknown","","2","😌 to just chill + study","Nothing . I want the exercises in word format. Nothing fancy","","Keep it simple","","2"
"gDl6xdN","EkXpEy4","2026-01-27 13:39:27","2","","","Unknown","","4","📚 to learn","It is human like","","Also video sharing","","4"
"dWMyjlV","pbKpY7J","2026-01-27 15:28:11","1","","","Any subject","","5","📚 to learn","He really helped","","I think everything’s good I like it","","5"
"0Q99O2j","1Al6Wdp","2026-01-27 17:35:23","3","","","Unknown","","5","📚 to learn","He is best","","He is best
","","5"
"lbGGGvW","rj6zDjo","2026-01-27 19:27:17","27","","","Any subject","","5","📚 to learn","He was nice and helpful and not a smart pants or a know it all ","","Nothing ","","5"
"lbGGpQp","81K7qAA","2026-01-27 19:38:04","3","","","Any subject","","4","📝 to do homework","He was very in depth but went to fast yall need to have a thing where he slows down ","","Slow down and he s few glitches 
","","3"
"EkRRyOl","7RW6beL","2026-01-27 19:45:31","0","","","Any subject","","5","📚 to learn","J’ai beaucoup appris ","","Nothing ","","5"
"rj4erlR","rj6z0DR","2026-01-27 21:04:00","7","","","Unknown","","5","📚 to learn","About the good AI","","Nothing really","","5"
"446MEBo","rj6z0DR","2026-01-27 21:42:48","4","","","Unknown","","5","📚 to learn","I like how like the whiteboards and all the concerns","","Every time when we’re on the whiteboard and whenever he writes something down, he stops talking, and I have to tell him to carry on","","5"
"dWM7V6r","RG07P4J","2026-01-28 01:32:10","22","","","Any subject","","4","📚 to learn","","","make the prof talk a little slower ","","3"
"yPQOLvg","1Al1vBp","2026-01-28 02:39:06","0","","","Unknown","","3","📝 to do homework","","","Idk","","3"
"EkRbaNo","WONgbDv","2026-01-28 05:00:43","2","","","Any subject","","5","😌 to just chill + study","Nice ","","Till time didn't mark anything ","","5"
"rj4NqYo","KYMQyZV","2026-01-28 15:10:51","0","","","Unknown","","5","📚 to learn","He helped e learn about a math problem and now I understand it","","By maybe adds school names for each country Nd continents for each country ","","3"
"Y56E8a0","gD5jEGP","2026-01-28 16:04:25","0","","","Any subject","","5","📚 to learn","No","","No","","5"
"GxZe9vk","D4Vq5k5","2026-01-28 22:56:20","23","","","Any subject","","3","📚 to learn","He goes though problems step-by-step, and if we tell him not to give us the answer, he won’t only like ChatGPT and other Ai  sources","","Profesor curious could be a bit faster ","","3"
"Pd7RPyb","J921Go4","2026-01-29 00:55:33","91","","","Unknown","","5","📚 to learn","It actually helped ","","Glitching","","3"
"81XN56x","ODAQyP7","2026-01-29 01:14:07","7","","","Unknown","","5","📚 to learn","Really good ideas ","","Make it shorter","","5"
"QKb1RqA","kdYbVa6","2026-01-29 03:30:27","9","","","Unknown","","5","📚 to learn","I like how he asked me questions to answer so that I really understood it. Would like to see that more.","","He kind of talks for a while at the end of sessions, but it’s OK","","5"
"gDEa8GP","kdYlWg6","2026-01-29 06:36:58","3","","","Any subject","","5","📚 to learn","","","You were always doing better than I think ","","5"
"Pd71XXb","0QE7vWN","2026-01-29 12:39:06","41","","","Unknown","","5","📚 to learn","Prof describes better than my normal teachers and understands what I need to know","","For me, it’s sometimes glitchy and I don’t understand why maybe it’s my fault or not. I don’t know.","","2"
"Y51GWyW","jaBbKJQ","2026-01-29 15:10:31","25","","","Any subject","","5","📚 to learn","Good men","","Nothing ","","5"
"LZ2rEJj","QKDrKgG","2026-01-29 16:38:12","0","","","Unknown","","1","📚 to learn","Lots of thing but still there something left you should make for every chapter notes so that we can revise it","","English shot put the chapters NCERT chapter more detailed and even notes for it to remind remember every Sunday for every chapter there is subject 
","","3"
"kd2EAJr","D4Vp1Yj","2026-01-29 22:12:47","0","","","Math (Updated)","","1","😌 to just chill + study","His smile","","He could talk","","1"
"81XxJyk","ODAXJyA","2026-01-29 22:50:27","3","","","Unknown","","5","📚 to learn","It explain a lot more better than my actual teacher","","No it’s good ","","5"
"OD6Go1A","ODAXJyA","2026-01-29 23:11:58","15","","","Unknown","","5","📚 to learn","","","🫰🏼🫰🏼","","5"
"LZep21j","BzGpg24","2026-01-30 00:42:38","6","","","Reading ","","5","📚 to learn","","","Nothign","","5"
"2EpP60e","rjlOW5p","2026-01-30 00:49:14","7","","","Unknown","","5","📚 to learn","That he explain everything well about what I’m asking I like a lot and I learn ","","Yes if it could be more free the only that ","","5"
"ZjM6loo","xXdDOZv","2026-01-30 03:04:24","4","","","Unknown","","4","📚 to learn","if i didn’t understand he would explain with further detail","","he would get a little glitchy or take a while to respond back","","3"
"xXAp45o","dWY94lK","2026-01-30 08:45:01","3","","","Unknown","","5","📚 to learn","The writing portion, easy explanation.","","Leave the writing explanation on for 5 minutes or more for people to jot down on their notebooks","","5"
"NpaAVvb","1ArVl7p","2026-01-30 11:44:27","0","","","Any subject","","5","😌 to just chill + study","","","Smart ","","5"
"KY9opqg","lbNr2e5","2026-01-30 13:56:29","20","","","Computer Science Principles","","5","📚 to learn","",""," n","","5"
"rjeK77L","Gxrd09Q","2026-01-30 16:40:06","58","","","Unknown","","5","📚 to learn","How patient he was I really loved that and thank you for making those free ","","You guys should make him a bit more expressive, instead of like no expression or vibe yk more relatable ","","3"
"9q8OaNQ","eqB6NOk","2026-01-30 23:27:16","35","","","Any subject","","4","📚 to learn","","","he didn’t hear me well and i think it was bc of my speech impediment ","","3"
"zxkJ5Qa","ZjNL1b5","2026-01-31 06:11:57","8","","","Unknown","","5","📚 to learn","","","T","","5"
"RGABKx4","68dda8o","2026-01-31 11:54:19","3","","","Unknown","","5","📚 to learn","Way of his talking ","","Nothing ","","5"
"Ek2Bxp4","Gxr1agz","2026-01-31 16:43:50","11","","","Any subject","","5","📚 to learn","It just like I have talking to my twitter","","it can""t draw and explain the figures like angles of a triangle 
","","5"
"2Epblkg","zxKzlkk","2026-01-31 18:00:55","3","","","Unknown","","5","📚 to learn","It explained me like a teacher, but there were audio issues.","","Fix audio issues, voice kept cutting in and out","","5"
"D4884lX","1Al86Zl","2026-01-31 20:13:46","0","","","Unknown","","5","📚 to learn","Nothing ","","It’s already good","","5"
"Ek28l4B","A7l8qo0","2026-01-31 21:23:39","1","","","Any subject","","1","😌 to just chill + study","","","It doesn’t answer the questions","","1"
"44MPGeO","MebRlWl","2026-02-01 00:03:14","20","","","Unknown","","5","📚 to learn","It explains really good 🔥","","Reply faster","","5"
"dWMKqBz","9qWy6aX","2026-02-01 00:18:04","20","","","Unknown","","5","📚 to learn","He taught me thinks and made me remember important stuff I love when I come back for questions and he always has a answer to it ","","Well I don’t like when professor tells me things and then when he’s done talking it goes away so I can’t read it any more but without that it’s very great ","","5"
"RGQqzDQ","OD7KjGa","2026-02-01 03:51:00","35","","","Unknown","","4","📚 to learn","It helps a lot. It’s like talking a teacher and giving her advice and I like how it’s not like an AI ChatGPT that do all the work it’s like helping me do the work.","","Maybe like this is just me but can you just I’m not saying make it like a ChatGPT and answer all the questions but can you like just give them a like resource and like help you do the assignment not just give you advice on it but I like it actually it’s so good. This is a great idea.","","4"
"b5oKeJL","Y5ZrjAv","2026-02-01 04:16:48","26","","","Unknown","","5","📚 to learn","He has great analogy’s ","","Spesifics","","5"
"Xxp1bZg","NpALlv0","2026-02-01 09:03:43","0","","","Calculus AB/BC","","4","📚 to learn","","","Nothing that I can think of","","2"
"rjeJAAX","XxWPVoj","2026-02-01 11:06:20","2","","","Unknown","","2","📝 to do homework","I have a complain that he sometimes do not listen 👂 and not answer 
He needs to improve his listening skills ","","Listen better and  answer the question ","","2"
"zxk1Wpa","zxKzlkk","2026-02-01 16:34:54","8","","","Unknown","","4","📚 to learn","You did not tell me the answer of the formula!
","","Lil upgrade","","4"
"Ek2MVD4","LZdJgKG","2026-02-01 22:40:22","6","","","Any subject","","2","📝 to do homework","The answer was wrong","","Have the answer not be wrong","","5"
"0QKkVoN","obA7LPN","2026-02-02 00:11:46","10","","","Unknown","","5","📚 to learn","It was very patient with me","","I think you already have it all","","5"
"ZjMe2zV","A7lqEee","2026-02-02 00:44:57","2","","","Unknown","","5","📚 to learn","","","Its already great","","5"
"Bzr9Ej4","2E4xxjj","2026-02-02 04:54:28","1","","","Unknown","","1","😌 to just chill + study","Nothing ","","Nothing.  It was so boring  and irritating ","","1"
"QKbyWRX","PdA829B","2026-02-02 14:58:51","6","","","Any subject","","1","😌 to just chill + study","Voice got breaking ","","Full of waste ","","1"
"vGlVDBD","LZdvRxl","2026-02-02 22:22:10","2","","","Unknown","","5","📚 to learn","He helped me with everything I needed","","It Glitched a couple times but always got back on track","","5"
"ZjMXJNy","LZdvRxl","2026-02-02 23:00:48","4","","","Unknown","","5","📚 to learn","","","It was amazing
","","5"
"rjeRGro","MebRlWl","2026-02-02 23:40:46","3","","","Unknown","","4","📝 to do homework","Explains good","","It kept on lagging whenever he spoke but that never happened to me","","3"
"KY9AOGz","xXdRaWr","2026-02-03 00:13:59","0","","","Unknown","","1","📝 to do homework","Helps me understand/teaches well","","So many glitches in the voice or sometimes his mouth is moving but nothing is coming out","","2"
"1ALzxg4","zxKGq0a","2026-02-03 00:18:10","23","","","Unknown","","5","📚 to learn","It’s like he’s actually teaching me and not throwing me answers and it’s like he’s an actual teacher so I like it","","Honestly, nothing but make it to where we don’t have to pay for every time we want a little help or something. That’s what I could do better.","","5"
"D4j9EAp","q4bJB49","2026-02-03 00:32:15","0","","","Unknown","","1","📝 to do homework","","","He keeps glitching ","","1"
"J9QrqVJ","J92ee7J","2026-02-03 02:05:03","3","","","Unknown","","5","📚 to learn","","","G","","5"
"obqZDqO","KYMWarX","2026-02-03 02:13:54","13","","","Any subject","","5","📚 to learn","","","Idk","","5"
"eqVGraO","D4VxMW5","2026-02-03 02:22:18","3","","","Any subject","","5","📚 to learn","Being able to talk to it and he responds back with an answer to my question step by step. I just love that 🤩🤩🤩💯","","Hmm I’m not sure it looks fine to me 
","","5"
"A7EYp4y","PdAbkQP","2026-02-03 02:23:16","2","","","Unknown","","5","📚 to learn","Easy way to rememebr things ","","Nothing ","","5"
"VLKaV0E","KYMWarX","2026-02-03 03:08:32","48","","","Any subject","","3","📚 to learn","","","Just show me how to do the problem instead of talking so much please and plug in the numbers into the equations, don’t just show the equation formats","","2"
"QKbqEoA","NpAb2BG","2026-02-03 04:15:48","12","","","Unknown","","4","📚 to learn","Good ","",".","","1"
"jajrgk4","RGzby44","2026-02-03 04:25:24","6","","","Unknown","","5","📚 to learn","Very nice ","","Good ","","5"
"J9QrgZo","NpAb2BG","2026-02-03 04:32:45","11","","","Any subject","","1","📚 to learn","Good ","","J","","1"
"Ek2GE1B","NpAb2BG","2026-02-03 04:43:33","7","","","Unknown","","1","😌 to just chill + study","Y","","Y","","1"
"A7EYY1B","KYMWXQk","2026-02-03 05:10:40","21","","","Any subject","","5","📚 to learn","He is very gentle and explains everything in  a simple way that makes you understand not feel stupid or wrong ","","Keeping the explanations on for referral cause they disappear as soon as he is done talking so it would be better if the explanation was still there as well as the answer ","","2"
"xXA7q0o","WOAKxqv","2026-02-03 05:40:06","19","","","Any subject","","5","📚 to learn","Did great explaining new material and being positive!","","i would like for him to talk a little slower but overall great!!!","","3"
"dWOo7Gz","5Bdey6P","2026-02-03 05:56:16","2","","","Any subject","","5","📚 to learn","Best","","Ai English language indian hona chahiye.","","5"
"5BJ0egE","WOAjP6j","2026-02-03 08:14:19","8","","","Unknown","","1","📚 to learn","Not following the instructions ","","To make it like a conversation where kids can actually talk and solve the doubts they have","","1"
"2Ep6bMb","MeAVaOp","2026-02-03 16:29:06","6","","","Unknown","","3","📝 to do homework","Wanted to see how my own language would be used but it was not said correctly and made it sound rough ","","How other languages are pronounced ","","5"
"jajj616","442GkJA","2026-02-03 22:22:13","61","","","Unknown","","4","📚 to learn","Ok nice","","Ok nice","","3"
"1ALLMg1","Gxr7Bgz","2026-02-03 23:16:49","3","","","Any subject","","5","📚 to learn","Easy explanation ","","Nothing he’s perfect ","","5"
"obqqZyN","Y5Zqg1z","2026-02-04 00:59:08","1","","","Unknown","","5","📚 to learn","Everything","","Nothing","","5"
"2Ep2jyL","Y5ZrjAv","2026-02-04 02:25:04","9","","","Unknown","","4","📚 to learn","The study guides in the notes that he makes are really good","","When he speaks, he sometimes glitches and doesn’t finish what he’s saying, but the notes keep generating","","3"
"zxkV2B0","9qWy6aX","2026-02-04 04:21:20","37","","","Unknown","","5","📚 to learn","I loved it so much I feel like I’m growing and will making a impact on that text because this app has thought me a lot just like my teacher hope I do good on the test and I now I’ll do go on the test bye and I’ll definitely come back again bye.","","Nothing it’s all great ","","5"
"VLKdVdM","XxWPVoj","2026-02-04 08:41:29","2","","","Any subject","","2","📝 to do homework","He never listen 👂 and not answer my questions properly 
I advise him to improve his listening skills ","","He can improve his listening skills and answer properly ","","5"
"XxpZgyY","PdAgBoB","2026-02-04 12:18:11","32","","","Any subject","","2","📝 to do homework","He helped me with some of the problems","","It was very laggy glitchy and I couldn’t understand a lot and he messed up a bunch of the problems and was putting in wrong information which got me the wrong answers and is confusing me when I have a test to studies for","","3"
"VLK2gBy","Y5ZgePq","2026-02-04 13:10:06","2","","","Any subject","","4","📝 to do homework","It understands our question or whatever, and tries to explain it briefly yet simply. He could also speak in multiple languages which boosts our understanding.","","It keeps reacting to background sounds in home unless our mic is turned off","","5"
"xXqP42k","VL5ObMM","2026-02-04 14:42:14","5","","","Any subject","","1","😌 to just chill + study","Everything is bad","","It should be free","","1"
"jaKabVY","jaBYYvR","2026-02-04 23:57:52","36","","","Unknown","","5","📚 to learn","","","All for the notes to be copy and pasted for future study material","","5"
"ODRD888","Gxr7Bgz","2026-02-05 01:19:00","1","","","Any subject","","5","📚 to learn","","","Nothing ","","5"
"xXGXRyk","1A7BMMp","2026-02-05 01:31:07","0","","","Unknown","","4","📚 to learn","explain well","","over explaination ","","3"
"44Z4EMb","VLZAkqa","2026-02-05 02:03:20","18","","","Unknown","","5","📚 to learn","","","Kept glitching ","","5"
"VLrpEWM","q4b7AyY","2026-02-05 03:50:02","11","","","Unknown","","5","📚 to learn","It was like a a real Tutor. I don’t think she really teaching me. I’m talking back to live of responses was very helpful.","","No","","5"
"ODRQVLR","q4b7zoO","2026-02-05 07:01:41","26","","","Unknown","","5","📚 to learn","Best ","","Please make camera and voice more better ","","5"
"Y5208b0","VLZaX5l","2026-02-05 16:48:39","42","","","Unknown","","3","📚 to learn","It broke it down easily for me to be able to understand ","","It kept glitching while he was talking","","2"
"GxM92EZ","68Ndvve","2026-02-05 16:56:46","14","","","Unknown","","5","📚 to learn","","","Glitching","","3"
"44ZJWVA","Xxe7ADj","2026-02-05 17:02:03","1","","","Unknown","","4","📝 to do homework","I don’t really know I would just like if he like went slow and didn’t tell me the answer and just let me figure it out and try it first ","","Nothing really ","","1"
"vGRDYEv","NpAxazl","2026-02-05 18:08:31","28","","","Any subject","","5","📚 to learn","Help me with bio which I bad at ","","Not sure ","","5"
"RGODdBp","aQ62yv2","2026-02-05 20:59:37","2","","","Unknown","","5","📚 to learn","It listens to me","","Nothing 😁","","5"
"D4GWvkE","jaybOlx","2026-02-06 00:27:41","10","","","Unknown","","3","📝 to do homework","","","Really glitchy ","","2"
"Npzorjj","zxK8NxZ","2026-02-06 01:20:01","45","","","Any subject","","5","📚 to learn","He helps me understand the concepts","","It was glitchy ","","2"
"KYX1x4V","ODAx4MM","2026-02-06 01:37:10","0","","","Any subject","","5","📚 to learn","","","The help","","5"
"b5axdbe","KYMr4N8","2026-02-06 07:09:36","1","","","Unknown","","5","📚 to learn","","","Any thing to update not naccry ","","5"
"9qeDg15","q4b7zoO","2026-02-06 09:07:49","8","","","Any subject","","1","📚 to learn","Worst","","Worsy","","1"
"pbgKW7J","WOAVDek","2026-02-06 11:30:05","0","","","Any subject","","3","📝 to do homework","Nothing ","","Not  like ","","3"
"gDB0EQM","zxK588a","2026-02-06 13:12:27","15","","","Unknown","","5","📚 to learn","he explained very well ","","Nothing he is very good ","","5"
"XxjDpVe","PdAJJ91","2026-02-06 13:14:57","10","","","Any subject","","4","📚 to learn","The math ","","His lag ","","4"
"WOW8pRj","Y5QJ5lz","2026-02-06 17:52:17","3","","","Unknown","","5","📚 to learn","Very much helpful.","","Good ","","4"
"WO40xrR","yPlQrGW","2026-02-07 02:10:56","5","","","Unknown","","5","📚 to learn","","","idk","","5"
"A7kxzyz","1AreoVg","2026-02-07 03:05:37","0","","","Unknown","","5","📝 to do homework","","","Nice ","","5"
"ODRY448","yP9ozp8","2026-02-07 10:05:06","4","","","Unknown","","3","📚 to learn","The white 🐻‍❄️ 🤍 board 🛹","","🫂🫂🫂🫂🫂🫂🫂🎉🌹🥦
","","1"
"NpzYXMN","yP9ozp8","2026-02-07 10:13:12","1","","","Unknown","","5","📚 to learn","🍅","","🍅","","5"
"vGRLYll","QKAbO7g","2026-02-07 10:31:27","116","","","Unknown","","5","📚 to learn","","","Nothing","","5"
"WO4YMrL","5BdJQbZ","2026-02-07 11:41:03","12","","","Any subject","","3","📚 to learn","The way he talked and interacted","","When I was in the call I called him after putting my call mute for sometime when he will not respond how much I tried to call him in the call","","5"
"NpzLEWj","D4VjKRE","2026-02-07 14:50:09","2","","","Unknown","","5","😌 to just chill + study","Nothing","","Instead of blackboard there should be white board and when I tell along with me he should write it in the whiteboard is that clear","","5"
"obJ7O4V","2E424VL","2026-02-07 15:32:52","5","","","Any subject","","5","📚 to learn","Clearing doubts while simply talking","","Best","","5"
"PdoXQd1","zxKVdWg","2026-02-07 17:29:37","0","","","Unknown","","1","😌 to just chill + study","Very Bad experience...","","APP not working properly ","","1"
"QKGBlRG","XxeXGxO","2026-02-07 23:54:34","11","","","Unknown","","5","📚 to learn","","","Nothing","","4"
"GxMB81e","QKAGyOX","2026-02-08 01:05:50","3","","","Unknown","","5","📚 to learn","His deep explanation ","","N/A","","5"
